Connected to: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN62097261,02.12.2021071625
Number of samples: 19
[MJD: 60677.85276] Averaged frequency: 1.773632 MHz, period: 5.63814949998516342875E-07
Elapsed time: 950.90 ms

measurements counter=5.63681134482451715688E-07,gate=948.42 60677.85619
measurements counter=5.63748034299617223194E-07,gate=947.86 60677.85621
measurements counter=5.63748034299617223194E-07,gate=957.64 60677.85622
measurements counter=5.63748034299617223194E-07,gate=954.76 60677.85623
measurements counter=5.63647690527752221947E-07,gate=947.93 60677.85624
measurements counter=5.63781490163496617311E-07,gate=964.07 60677.85625
measurements counter=5.63748034299617223194E-07,gate=948.41 60677.85626
measurements counter=5.63647690527752221947E-07,gate=947.73 60677.85627
measurements counter=5.63781490163496617311E-07,gate=948.25 60677.85628
measurements counter=5.63948829064141786367E-07,gate=964.51 60677.85629
measurements counter=5.63781490163496617311E-07,gate=947.72 60677.85631
measurements counter=5.63781490163496617311E-07,gate=948.01 60677.85632
measurements counter=5.63848413805383248882E-07,gate=964.04 60677.85633
measurements counter=5.63681134482451715688E-07,gate=948.61 60677.85634
measurements counter=5.63915353337488433419E-07,gate=947.61 60677.85635
measurements counter=5.63547382470710416190E-07,gate=964.31 60677.85636
measurements counter=5.63748034299617223194E-07,gate=948.27 60677.85637
measurements counter=5.63781490163496617311E-07,gate=947.99 60677.85638
measurements counter=5.63814949998516342875E-07,gate=954.45 60677.85639
measurements counter=5.63681134482451715688E-07,gate=957.89 60677.85640
measurements counter=5.63781490163496617311E-07,gate=947.96 60677.85642
measurements counter=5.63781490163496617311E-07,gate=948.07 60677.85643
measurements counter=5.63714582406171205651E-07,gate=963.97 60677.85644
measurements counter=5.63881881584804925479E-07,gate=948.48 60677.85645
measurements counter=5.63748034299617223194E-07,gate=947.63 60677.85646
measurements counter=5.63748034299617223194E-07,gate=957.94 60677.85647
measurements counter=5.63748034299617223194E-07,gate=954.96 60677.85648
measurements counter=5.63714582406171205651E-07,gate=947.78 60677.85649
measurements counter=5.63681134482451715688E-07,gate=957.77 60677.85650
measurements counter=5.63848413805383248882E-07,gate=954.71 60677.85651
measurements counter=5.63647690527752221947E-07,gate=947.96 60677.85653
measurements counter=5.63781490163496617311E-07,gate=947.95 60677.85654
measurements counter=5.63814949998516342875E-07,gate=963.99 60677.85655
measurements counter=5.63748034299617223194E-07,gate=948.38 60677.85656
measurements counter=5.63748034299617223194E-07,gate=947.86 60677.85657
measurements counter=5.63781490163496617311E-07,gate=964.17 60677.85658
measurements counter=5.63781490163496617311E-07,gate=948.17 60677.85659
measurements counter=5.63848413805383248882E-07,gate=948.33 60677.85660
measurements counter=5.63848413805383248882E-07,gate=957.73 60677.85661
measurements counter=5.63748034299617223194E-07,gate=954.36 60677.85663
measurements counter=5.63748034299617223194E-07,gate=948.05 60677.85664
measurements counter=5.63814949998516342875E-07,gate=948.18 60677.85665
measurements counter=5.63714582406171205651E-07,gate=964.22 60677.85666
measurements counter=5.63647690527752221947E-07,gate=948.14 60677.85667
measurements counter=5.63915353337488433419E-07,gate=947.87 60677.85668
measurements counter=5.63848413805383248882E-07,gate=964.07 60677.85669
measurements counter=5.63848413805383248882E-07,gate=948.59 60677.85670
measurements counter=5.63814949998516342875E-07,gate=947.86 60677.85671
measurements counter=5.63781490163496617311E-07,gate=957.71 60677.85672
measurements counter=5.63580814522587732978E-07,gate=954.55 60677.85674
measurements counter=5.63647690527752221947E-07,gate=948.25 60677.85675
measurements counter=5.63748034299617223194E-07,gate=947.75 60677.85676
measurements counter=5.63614250541366298950E-07,gate=964.13 60677.85677
measurements counter=5.63814949998516342875E-07,gate=948.32 60677.85678
measurements counter=5.63714582406171205651E-07,gate=948.03 60677.85679
measurements counter=5.63781490163496617311E-07,gate=963.98 60677.85680
measurements counter=5.63748034299617223194E-07,gate=948.54 60677.85681
measurements counter=5.63848413805383248882E-07,gate=947.54 60677.85682
measurements counter=5.63748034299617223194E-07,gate=957.91 60677.85683
measurements counter=5.63881881584804925479E-07,gate=955.18 60677.85685
measurements counter=5.63748034299617223194E-07,gate=947.54 60677.85686
measurements counter=5.63781490163496617311E-07,gate=1048.05 60677.85687
measurements counter=5.63681134482451715688E-07,gate=930.86 60677.85688
measurements counter=5.63748034299617223194E-07,gate=964.13 60677.85689
measurements counter=5.63848413805383248882E-07,gate=948.25 60677.85690
measurements counter=5.63814949998516342875E-07,gate=948.03 60677.85691
measurements counter=5.63781490163496617311E-07,gate=957.77 60677.85692
measurements counter=5.63781490163496617311E-07,gate=954.71 60677.85693
